name;price;originalPrice;category;subcategory;description;materials;dimensions;care;inStock;featured;images;tags
Collar Veneciano Premium;89900;119900;collares;cadenas;Elegante collar veneciano de oro laminado 18k con acabado brillante. Perfecto para ocasiones especiales y uso diario. Diseño clásico que nunca pasa de moda.;Oro laminado 18k sobre base de acero inoxidable;50cm de largo x 3mm de ancho;Limpiar con paño suave y seco. Evitar contacto con perfumes y cremas. Guardar en lugar seco.;true;true;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878320/samples/bike.jpg;premium|veneciano|oro|cadena|elegante
Anillo Solitario Clásico;65000;85000;anillos;solitarios;Anillo solitario con cristal central de alta calidad. Diseño atemporal en oro laminado que destaca la elegancia y sofisticación de quien lo lleva.;Oro laminado 18k con cristal de zirconia cúbica;Talla ajustable 6-8, ancho 4mm;Evitar contacto con químicos. Limpiar suavemente con cepillo de dientes suave.;true;true;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878319/samples/people/smiling-man.jpg;solitario|cristal|oro|elegante|clásico
Pulsera Tennis Deluxe;95000;;pulseras;tennis;Pulsera tennis con cristales engarzados en oro laminado. Brillo espectacular que captura la luz desde cualquier ángulo. Ideal para eventos especiales.;Oro laminado 18k con cristales de zirconia cúbica AAA;18cm de largo x 5mm de ancho;Evitar golpes. Limpiar con paño húmedo sin detergente. Secar completamente.;true;false;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878320/samples/bike.jpg;tennis|cristales|oro|lujo|brillo
Aretes Mariposa Románticos;35000;45000;aretes;botones;Delicados aretes en forma de mariposa con detalles en relieve. Perfectos para complementar cualquier outfit con un toque romántico y femenino.;Oro laminado 18k con textura mate y brillo;12mm x 10mm;Limpiar semanalmente con paño suave. No sumergir en agua. Usar cierre hipoalergénico.;true;false;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878320/samples/bike.jpg;mariposa|romántico|botones|femenino|delicado
Conjunto Corazón Eterno;125000;155000;conjuntos;romántico;Set completo de collar, aretes y anillo con motivo de corazón. Simboliza amor eterno con acabado en oro laminado de máxima calidad.;Oro laminado 18k con detalles en relieve;Collar 45cm, Aretes 8mm, Anillo talla 7;Mantener separado de otras joyas. Limpiar individualmente. Guardar en estuche acolchado.;true;true;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878320/samples/bike.jpg;conjunto|corazón|romántico|amor|completo
Reloj Elegance Dorado;180000;;relojes;elegantes;Reloj de pulso con diseño minimalista y elegante. Mecanismo de cuarzo japonés con caja dorada y correa de cuero premium.;Caja de acero inoxidable con baño de oro, correa de cuero genuino;Diámetro 40mm, grosor 8mm, correa 20mm;Resistente a salpicaduras. No sumergir. Cambiar pila cada 2 años. Limpiar con paño seco.;true;false;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878318/samples/animals/cat.jpg;reloj|elegante|cuarzo|dorado|cuero
Collar Perlas Cultivadas;75000;95000;collares;perlas;Collar de perlas cultivadas con cierre en oro laminado. Combina la elegancia clásica de las perlas con el brillo dorado contemporáneo.;Perlas cultivadas de agua dulce 6mm, cierre oro laminado 18k;42cm de largo, perlas 6mm;Limpiar perlas con paño húmedo. Secar completamente. No usar químicos. Guardar separado.;true;false;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878320/samples/bike.jpg;perlas|clásico|elegante|cultivadas|dorado
Anillo Geometría Moderna;55000;;anillos;modernos;Anillo con diseño geométrico contemporáneo. Líneas limpias y ángulos definidos que representan la joyería moderna y vanguardista.;Oro laminado 18k con acabado satinado;Talla 7, ancho variable 3-6mm;Evitar impactos por el diseño angular. Limpiar con cepillo suave. Pulir ocasionalmente.;true;false;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878318/samples/animals/cat.jpg;geométrico|moderno|contemporáneo|angular|vanguardista
Pulsera Eslabones Cubanos;110000;135000;pulseras;cadenas;Pulsera estilo cubano con eslabones gruesos. Diseño masculino y robusto que también funciona perfectamente en looks femeninos urbanos.;Oro laminado 18k extra grueso sobre base de acero;20cm de largo x 8mm de ancho;Resistente al uso diario. Limpiar con cepillo de cerdas suaves. Evitar torsión excesiva.;true;true;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878318/samples/animals/cat.jpg;cubano|eslabones|robusto|urbano|grueso
Aretes Lágrima Vintage;42000;58000;aretes;colgantes;Aretes colgantes en forma de lágrima con inspiración vintage. Movimiento elegante que enmarca el rostro con sofisticación clásica.;Oro laminado 18k con patina vintage;35mm de largo x 15mm de ancho;Manipular con cuidado por ser colgantes. Limpiar con paño de joyería. Revisar cierres regularmente.;true;false;https://res.cloudinary.com/dflhmlbrz/image/upload/v1752878318/samples/animals/cat.jpg;lágrima|vintage|colgantes|clásico|movimiento
